"Policy","Rule_name","mean.wait","sd.wait","mean.OT","sd.OT","mean.Idle","sd.Idle","excess.wait.rate","extreme.wait.rate","excess.OT.rate","extreme.OT.rate"
"2;A-3,4,6,7,8,9,10,11,12,13,14,15,16;B","CABBCBBBBBBBBBBB",5.24869520833334,2.23675245551181,7.92319833333333,11.6957152770018,32.577145,17.3514778108852,11.8625,0.575625,6.04,1.75
"2;A-3,5,6,7,8,9,10,11,12,13,14,15,16;B","CABCBBBBBBBBBBBB",5.24261614583333,2.30555478792638,7.99567333333333,11.7790581405646,32.656725,17.2727668000012,11.7925,0.591875,6.16,1.81
"2;A-4,5,6,7,8,9,10,11,12,13,14,15,16;B","CACBBBBBBBBBBBBB",5.23183958333333,2.37563559283261,8.05054166666667,11.854431751723,32.716105,17.2038056392132,11.736875,0.618125,6.22,1.86
"3;A-1,2,4,5,6,7,8,9,10,11,12,13,14;B","BBABBBBBBBBBBBCC",6.36238583333333,2.52271840737343,4.965745,10.058976007103,27.9137266666667,17.6565938925714,15.188125,0.97125,3.91,1.22
"3;A-1,2,4,5,6,7,8,9,10,11,12,13,15;B","BBABBBBBBBBBBCBC",6.2470571875,2.46354988200396,5.13981666666667,10.0938652914771,28.2839566666667,17.7317131114095,14.8525,0.93125,3.95,1.22
"3;A-1,2,4,5,6,7,8,9,10,11,12,13,16;B","BBABBBBBBBBBBCCB",6.12548239583333,2.48387241156365,5.62169666666667,10.106018397959,29.70262,18.1676264795595,14.57,0.8975,4.05,1.22
"3;A-1,2,4,5,6,7,8,9,10,11,12,14,15;B","BBABBBBBBBBBCBBC",6.15283260416667,2.41192706997299,5.29000833333333,10.1467211650132,28.5508166666667,17.7790714772605,14.57125,0.8925,4.06,1.23
"3;A-1,2,4,5,6,7,8,9,10,11,12,14,16;B","BBABBBBBBBBBCBCB",6.02545854166667,2.41587111419523,5.74235333333333,10.1493360312446,29.8766916666667,18.1971881791185,14.268125,0.858125,4.15,1.23
"3;A-1,2,4,5,6,7,8,9,10,11,12,15,16;B","BBABBBBBBBBBCCBB",5.93448958333333,2.42251392747497,6.047285,10.219309205625,30.3463416666667,18.2935343734679,14.05375,0.820625,4.19,1.24
"3;A-1,2,4,5,6,7,8,9,10,11,13,14,15;B","BBABBBBBBBBCBBBC",6.0684815625,2.36624425184146,5.41076,10.2246948172185,28.72853,17.7907927183539,14.38375,0.858125,4.16,1.26
"3;A-1,2,4,5,6,7,8,9,10,11,13,14,16;B","BBABBBBBBBBCBBCB",5.93898104166667,2.3559450096258,5.85238166666667,10.2239067013457,30.0203816666667,18.2004833845297,14.07125,0.823125,4.25,1.26
"3;A-1,2,4,5,6,7,8,9,10,11,13,15,16;B","BBABBBBBBBBCBCBB",5.84226645833333,2.34970494444302,6.14393833333333,10.2854759408572,30.46799,18.2996309285248,13.83375,0.78375,4.29,1.26
"3;A-1,2,4,5,6,7,8,9,10,11,14,15,16;B","BBABBBBBBBBCCBBB",5.7705915625,2.35425126508026,6.35768333333333,10.3849538742771,30.7711566666667,18.324958866908,13.631875,0.7525,4.44,1.27
"3;A-1,2,4,5,6,7,8,9,10,12,13,14,15;B","BBABBBBBBBCBBBBC",6.00033729166667,2.3308222001238,5.54141333333333,10.3104519719893,28.9076033333333,17.7751614180231,14.17125,0.8325,4.24,1.28
"3;A-1,2,4,5,6,7,8,9,10,12,13,14,16;B","BBABBBBBBBCBBBCB",5.86892833333333,2.30609805462708,5.97459666666667,10.3036495029117,30.16892,18.1856813131367,13.851875,0.795,4.32,1.28
"3;A-1,2,4,5,6,7,8,9,10,12,13,15,16;B","BBABBBBBBBCBBCBB",5.76826239583333,2.28698061541049,6.254745,10.3569839803349,30.60073,18.2834535058609,13.6125,0.75375,4.35,1.28
"3;A-1,2,4,5,6,7,8,9,10,12,14,15,16;B","BBABBBBBBBCBCBBB",5.68991979166667,2.27920490922634,6.45743166666667,10.448165338289,30.8886266666667,18.3066478266618,13.3975,0.72125,4.49,1.29
